ko_to_module_prokaryotes	SRS012273	SRS011134	SRS011061	SRS011239
M00269	0.09227239137279797	0.08688057912162318	0.016962464221489785	0.021219085433103437
M00270	0.054792373418055186	0.01906219747009035	0.006323384556140765	0.009550322504961715
M00271	0.15659321504468343	0.0900306388947335	0.007796398213938158	0.043258892447313416
M00272	0.01124359857370059	0.01089209679594339	0.002030808650802381	0.004255788229675085
M00273	0.2885935484374894	0.3123938944481117	0.04887806365895914	0.08994566786559123
M00274	0.07545263040592606	0.014514770639587442	0.02094723858131459	0.013410001902450135
M00275	0.2924061202391439	0.2581087170073678	0.010254231616522617	0.06300300914164494
M00276	0.28247999711152905	0.2404794718977884	0.011291226710159434	0.04937411717524174
M00277	0.1835406602961969	0.08847512333601658	0.004735170721418418	0.0885565870440703
M00278	0.02920654411927941	0.0008845115761490112	0.0002819674437133849	0.00021596813058650144
M00279	0.27788235980193016	0.22867708618560348	0.31388375322153705	0.3301794699516961
M00280	0.03238164927583587	0.0048858132070878375	0.0006708755532573086	0.0031319335574727437
M00281	0.024151598612275935	0.05014692044206546	0.00033846403513299093	0.0008538346077733609
M00283	0.07967334856772526	0.012485806065948544	0.006722750543536466	0.0028742943377569816
M00287	0.05195109689194843	0.015158607607595253	0.003674109354492229	0.015299124233792323
M00288	0.0	0.00043632357134409927	0.0	0.0002733643122049811
M00298	0.09048274586345978	0.13637991540973124	0.025345444445403112	0.1708738887693077
M00299	2.8190866641923673	1.9374644310971452	2.3895968826244656	2.4921511013589974
M00300	0.02401168419861595	0.003514883523759087	0.0018241744728128783	0.0029322130376520255
M00301	0.00014864470834109725	0.00014094040825871724	0.0001034563489110546	5.453127854495557e-05
M00302	1.80266956592523e-05	0.00023235221286727525	0.0	5.405142891946197e-05
M00303	0.011058777880961105	0.010814776772513827	0.002030808650802381	0.004201141572806796
M00305	0.0012959401220050222	0.00012953847968790193	0.0	0.0005279998465415204
M00306	0.044000708946738715	0.01611304906009623	0.0008955798186374423	0.0069054530614981935
M00307	0.873416789117328	0.6776155652416902	0.7982933333838121	0.8109878992027423
M00308	0.7355361425864346	0.6813069504759751	0.9093186828092481	0.7948758148465176
M00314	0.0004721059274410777	0.0002623109092741142	9.231680287555407e-05	9.0656882910231e-05
